part_number_7,part_number_11_forms,vehicle_count,vehicles
6853175,35426853175|54268531750,29,2013 BMW 328i XDRIVE; 2013 BMW 335i; 2014 BMW 228i; 2014 BMW 320i; 2014 BMW 428i; 2014 BMW 435i; 2014 BMW X5; 2015 BMW 320i; 2015 BMW 435i; 2015 BMW M3; 2015 BMW M4; 2015 BMW X5; 2016 BMW 228i; 2016 BMW 435i; 2016 BMW M3; 2016 BMW M4; 2016 BMW X6; 2017 BMW 340i; 2017 BMW M240i; 2017 BMW M240xi; 2018 BMW 340i; 2018 BMW M240xi; 2018 BMW X3; 2019 BMW 330i; 2019 BMW X3; 2019 BMW X5; 2020 BMW 228i; 2020 BMW 330i; 2020 BMW X3
8643360,12138643360,28,2018 BMW 330i; 2018 BMW 540i; 2018 BMW 740i; 2018 BMW M240i; 2018 BMW M240xi; 2018 BMW X1; 2018 BMW X2; 2018 BMW X3; 2019 BMW 330i; 2019 BMW M240i; 2019 BMW X3; 2019 BMW X5; 2020 BMW 330i; 2020 BMW M340i; 2020 BMW X3; 2020 BMW X3M; 2020 BMW X5; 2020 BMW Z4; 2021 BMW 228i; 2021 BMW 330i; 2021 BMW 540i; 2021 BMW M340i; 2021 BMW X3; 2021 BMW X5; 2022 BMW 230i; 2022 BMW 330i; 2022 BMW M240i; 2022 BMW M4
6129510,66539302256,27,2012 BMW 650i; 2013 BMW 328i XDRIVE; 2013 BMW 335i; 2013 BMW 535ix GT; 2013 BMW M5; 2014 BMW 328i; 2014 BMW 335i; 2014 BMW 428xi; 2014 BMW 435i; 2014 BMW 535xi; 2014 BMW 650i; 2014 BMW M6; 2014 BMW X5; 2015 BMW 328i; 2015 BMW 335xi; 2015 BMW 528xi; 2015 BMW 650i; 2015 BMW M235i; 2015 BMW M4; 2015 BMW M5; 2016 BMW 428i; 2016 BMW M3; 2016 BMW M4; 2017 BMW 340i; 2018 BMW 440i; 2018 BMW M4; 2019 BMW M240i
9198302,13691983020|61369198302,27,2010 BMW X6M; 2013 BMW 335i; 2013 BMW M6; 2014 BMW 228i; 2014 BMW 328i; 2014 BMW 335i; 2014 BMW 435i; 2014 BMW M5; 2014 BMW X5; 2015 BMW 435i; 2015 BMW 650i; 2015 BMW M235i; 2015 BMW M5; 2015 BMW X3; 2015 BMW X5; 2015 BMW X5M; 2016 BMW M235i; 2016 BMW X5M; 2016 BMW X6; 2017 BMW 340i; 2017 BMW 440i; 2017 BMW X5; 2017 BMW X5M; 2018 BMW 440i; 2018 BMW M240xi; 2018 BMW X1; 2020 BMW X3
9296898,13179503840|61317950384|61319296898,27,2013 BMW 335i; 2014 BMW 328i; 2014 BMW 335i; 2014 BMW 428i; 2014 BMW 428xi; 2014 BMW 435i; 2015 BMW 328i; 2015 BMW 335xi; 2015 BMW 428i; 2015 BMW 435i; 2015 BMW 435xi; 2015 BMW M235i; 2016 BMW 228i; 2016 BMW 340i; 2016 BMW 340xi; 2016 BMW 428i; 2016 BMW 435i; 2016 BMW M235i; 2017 BMW 340i; 2017 BMW 430I; 2017 BMW M240i; 2017 BMW M240xi; 2018 BMW 330i; 2018 BMW 340i; 2018 BMW 440i; 2018 BMW M240i; 2018 BMW M240xi
9226358,51337263991|51337263992|51392263580|51417458447|51459299505|65132622468|65132622469|65132622493|65132622494|65139151127|65139169690|65139184794|65139184795|65139226357|65139226358|65139289965|65139362561|65139364956|65139368383,27,2014 BMW 335i; 2014 BMW 428i; 2015 BMW 328i; 2015 BMW 335xi; 2015 BMW 435i; 2015 BMW M3; 2015 BMW M4; 2016 BMW 340i; 2016 BMW 435i; 2016 BMW 740i; 2016 BMW 750i; 2016 BMW M3; 2016 BMW M4; 2017 BMW 340i; 2017 BMW 740i; 2017 BMW 750i; 2017 BMW M240i; 2018 BMW 340i; 2018 BMW 740i; 2018 BMW M3; 2018 BMW M550i; 2019 BMW 330i; 2019 BMW M550i; 2020 BMW 740i; 2020 BMW M340i; 2020 BMW Z4; 2021 BMW M235i
9228653,21292286530|72129228653,27,2012 BMW 335i; 2013 BMW 328i; 2013 BMW 335i; 2014 BMW 228i; 2014 BMW 328i; 2014 BMW 335i; 2014 BMW 428i; 2014 BMW 428xi; 2014 BMW 435i; 2015 BMW 328i; 2015 BMW 435i; 2015 BMW M235i; 2015 BMW M3; 2015 BMW M4; 2016 BMW 340i; 2016 BMW 435i; 2016 BMW M3; 2016 BMW M4; 2017 BMW M240i; 2017 BMW M240xi; 2018 BMW 330i; 2018 BMW 340i; 2018 BMW 440i; 2018 BMW M240i; 2018 BMW M3; 2018 BMW M4; 2019 BMW M240i
7639994,13547639994|13647639994|13648625397|36476399940,25,2013 BMW 328i; 2014 BMW 228i; 2014 BMW 320i; 2014 BMW 328i; 2014 BMW 335i; 2014 BMW 428i; 2014 BMW 435i; 2014 BMW X5; 2015 BMW 328i; 2015 BMW 335xi; 2015 BMW 428i; 2015 BMW 435i; 2015 BMW 535i; 2015 BMW M3; 2015 BMW M4; 2015 BMW X3; 2015 BMW X5; 2016 BMW 435i; 2016 BMW M235i; 2016 BMW M3; 2016 BMW M4; 2016 BMW X6; 2017 BMW M3; 2018 BMW M3; 2018 BMW M4
7267503,,25,2012 BMW 335i; 2013 BMW 320i; 2013 BMW 328i; 2013 BMW 328i XDRIVE; 2013 BMW 335xi; 2014 BMW 228i; 2014 BMW 328i; 2014 BMW 335i; 2014 BMW 435i; 2015 BMW 320i; 2015 BMW 335xi; 2015 BMW M235i; 2015 BMW M3; 2015 BMW M4; 2016 BMW 228i; 2016 BMW 340i; 2016 BMW 428i; 2016 BMW M235i; 2016 BMW M3; 2016 BMW M4; 2017 BMW 340i; 2017 BMW 430I; 2017 BMW M240xi; 2018 BMW M240xi; 2019 BMW M240i
9350723,58293507230|65829332285|65829347470|65829350723|65829371374,25,2014 BMW 228i; 2015 BMW 320i; 2015 BMW 328i; 2015 BMW 335xi; 2015 BMW 435i; 2015 BMW 435xi; 2015 BMW 528xi; 2015 BMW 535i; 2015 BMW M235i; 2015 BMW M3; 2015 BMW M4; 2015 BMW X3; 2015 BMW X5; 2015 BMW X5M; 2015 BMW X6M; 2016 BMW 340i; 2016 BMW 340xi; 2016 BMW 435i; 2016 BMW 535i; 2016 BMW M235i; 2016 BMW M3; 2016 BMW M4; 2016 BMW X3; 2016 BMW X5M; 2016 BMW X6
