sku,listingId,donor,rule,engine,n_vehicles,sources,models,action,reason
4296,407180201226,,,,,,,skip,no Shopify donor for SKU
4253,407180201202,,,,,,,skip,no Shopify donor for SKU
4297,407180201192,,,,,,,skip,no Shopify donor for SKU
4294,407180201169,,,,,,,skip,category 107062 never renders fitment on eBay
4293,407180201086,,,,,,,skip,no Shopify donor for SKU
4292,407180201087,,,,,,,skip,no Shopify donor for SKU
4327,407180201058,,,,,,,skip,no Shopify donor for SKU
4278,407180201009,,,,,,,skip,no Shopify donor for SKU
4490,407180200968,,,,,,,skip,category 107062 never renders fitment on eBay
4285,407180200924,,,,,,,skip,no Shopify donor for SKU
4289,407180200768,,,,,,,skip,no Shopify donor for SKU
4300,407180200646,,,,,,,skip,no Shopify donor for SKU
4637,407180200538,,,,,,,skip,category 21647 never renders fitment on eBay
4281,407180200523,,,,,,,skip,no Shopify donor for SKU
4505,407180200496,,,,,,,skip,category 174119 never renders fitment on eBay
4572,407180200427,,,,,,,skip,no Shopify donor for SKU
4651,407180200421,,,,,,,skip,category 174119 never renders fitment on eBay
4569,407180200397,,,,,,,skip,category 107062 never renders fitment on eBay
4866,407180200248,,,,,,,skip,category 107062 never renders fitment on eBay
5515,407180200131,,,,,,,skip,category 107062 never renders fitment on eBay
4854,407180199943,,,,,,,skip,category 169395 never renders fitment on eBay
5026,407180199920,,,,,,,skip,category 38771 never renders fitment on eBay
5521,407180199850,,,,,,,skip,category 21647 never renders fitment on eBay
5822,407180199831,,,,,,,skip,category 169395 never renders fitment on eBay
5734,407180199620,,,,,,,skip,category 107062 never renders fitment on eBay
33637,407179991308,,,,,,,skip,category 21647 never renders fitment on eBay
34360,407179610193,,,,,,,skip,no Shopify donor for SKU
37573,407179598340,,,,,,,skip,category 107062 never renders fitment on eBay
39941,407179559945,,,,,,,skip,category 38771 never renders fitment on eBay
41536,407179558889,,,,,,,skip,category 21647 never renders fitment on eBay
45739,407179546703,,,,,,,skip,category 107062 never renders fitment on eBay
42517,407179535929,,,,,,,skip,category 107062 never renders fitment on eBay
45526,407179529162,,,,,,,skip,category 169395 never renders fitment on eBay
44088,407179517328,,,,,,,skip,category 21647 never renders fitment on eBay
48742,407179474679,,,,,,,skip,category 107062 never renders fitment on eBay
49844,407179462250,,,,,,,skip,category 107062 never renders fitment on eBay
49617,407179459071,,,,,,,skip,category 107062 never renders fitment on eBay
50380,407179451023,,,,,,,skip,category 107062 never renders fitment on eBay
53159,407179406386,,,,,,,skip,category 107062 never renders fitment on eBay
53199,407179399242,,,,,,,skip,category 107062 never renders fitment on eBay
51158,407179347726,,,,,,,skip,category 107062 never renders fitment on eBay
53332,407179346041,,,,,,,skip,category 107062 never renders fitment on eBay
51988,407179345876,,,,,,,skip,category 179679 never renders fitment on eBay
50870,407179343399,,,,,,,skip,category 107062 never renders fitment on eBay
51466,407179342225,,,,,,,skip,category 21647 never renders fitment on eBay
51451,407179342200,,,,,,,skip,category 174119 never renders fitment on eBay
51507,407179341620,,,,,,,skip,no Shopify donor for SKU
50920,407179339852,,,,,,,skip,category 174119 never renders fitment on eBay
50866,407179338116,,,,,,,skip,category 107062 never renders fitment on eBay
53335,407179335045,,,,,,,skip,category 21647 never renders fitment on eBay
53958,407179331533,,,,,,,skip,category 21647 never renders fitment on eBay
50578,407179331521,,,,,,,skip,category 169395 never renders fitment on eBay
48198,407179331492,,,,,,,skip,category 107062 never renders fitment on eBay
50892,407179331500,,,,,,,skip,category 38771 never renders fitment on eBay
53345,407179331161,,,,,,,skip,category 33643 never renders fitment on eBay
50607,407179329967,,,,,,,skip,no Shopify donor for SKU
51463,407179329912,,,,,,,skip,category 107062 never renders fitment on eBay
53826,407179327516,,,,,,,skip,category 107062 never renders fitment on eBay
51481,407179322477,,,,,,,skip,category 107062 never renders fitment on eBay
50799,407179322419,,,,,,,skip,category 107062 never renders fitment on eBay
52542,407179320998,,,,,,,skip,no Shopify donor for SKU
52541,407179319744,,,,,,,skip,no Shopify donor for SKU
50869,407179319187,,,,,,,skip,category 107062 never renders fitment on eBay
51452,407179318081,,,,,,,skip,category 107062 never renders fitment on eBay
50606,407179314040,,,,,,,skip,no Shopify donor for SKU
4312,407178743546,,,,,,,skip,category 174119 never renders fitment on eBay
64961,407177203610,,,,,,,skip,category 21647 never renders fitment on eBay
64958,407177200628,,,,,,,skip,category 107062 never renders fitment on eBay
64899,407177152440,,,,,,,skip,category 107062 never renders fitment on eBay
64898,407177152352,,,,,,,skip,category 107062 never renders fitment on eBay
64878,407177129597,,,,,,,skip,category 169395 never renders fitment on eBay
4308,407176947698,,,,,,,skip,category 174119 never renders fitment on eBay
65168,407176845806,,,,,,,skip,category 107062 never renders fitment on eBay
3223,407176831593,,,,,,,skip,category 174119 never renders fitment on eBay
3236,407176830823,,,,,,,skip,category 107062 never renders fitment on eBay
3498,407176830745,,,,,,,skip,category 38771 never renders fitment on eBay
3420,407176830744,,,,,,,skip,category 107062 never renders fitment on eBay
3252,407176830571,,,,,,,skip,category 107062 never renders fitment on eBay
3240,407176830458,,,,,,,skip,category 21647 never renders fitment on eBay
3241,407176830324,,,,,,,skip,category 21647 never renders fitment on eBay
3632,407176830269,,,,,,,skip,category 107062 never renders fitment on eBay
65101,407176821967,,,,,,,skip,category 107062 never renders fitment on eBay
4374,407176801111,,,,,,,skip,no Shopify donor for SKU
51453,407087042433,,,,,,,skip,category 174119 never renders fitment on eBay
1209,407176687745,,,,,,,skip,no Shopify donor for SKU
1206,407176687904,,,,,,,skip,no Shopify donor for SKU
64334,407176571941,,,,,,,skip,category 33643 never renders fitment on eBay
64335,407176571878,,,,,,,skip,category 33643 never renders fitment on eBay
64322,407176546216,,,,,,,skip,category 21647 never renders fitment on eBay
64325,407176546207,,,,,,,skip,category 107062 never renders fitment on eBay
64320,407176536095,,,,,,,skip,category 21647 never renders fitment on eBay
61239,407176487183,,,,,,,skip,category 169395 never renders fitment on eBay
4303,407176301993,BMW 330i [G20],A,,41,chassis,"330e,330e xDrive,330i,330i xDrive,M340i,M340i xDrive",pushed,not under an engine branch (Car & Truck Parts & Accessories > Interior Parts & Accessories > Interior Safety > Seat Belts & Parts) [catalog: 7 dropped_vehicle]
60338,407174731927,,,,,,,skip,category 179671 never renders fitment on eBay
60273,407174730314,,,,,,,skip,category 179671 never renders fitment on eBay
64130,407174711781,,,,,,,skip,category 169395 never renders fitment on eBay
64129,407174701107,,,,,,,skip,category 174119 never renders fitment on eBay
64114,407174652312,,,,,,,skip,category 107062 never renders fitment on eBay
64110,407174646374,,,,,,,skip,category 107062 never renders fitment on eBay
61856,407174541487,,,,,,,skip,category 33643 never renders fitment on eBay
61685,407174468277,,,,,,,skip,category 107062 never renders fitment on eBay
61684,407174468353,,,,,,,skip,category 21647 never renders fitment on eBay
64949,407174346984,,,,,,,skip,category 33643 never renders fitment on eBay
64948,407174346962,,,,,,,skip,category 33643 never renders fitment on eBay
64959,407174340099,,,,,,,skip,category 107062 never renders fitment on eBay
6425,407174330307,,,,,,,skip,category 179679 never renders fitment on eBay
64908,407174038754,,,,,,,skip,category 174119 never renders fitment on eBay
39023,407172096815,BMW M4 [None],A,,,,,review,unresolved chassis: series 'None' not in BMW reference
6426-1,407172098287,,,,,,,skip,category 179679 never renders fitment on eBay
64376,407172089617,,,,,,,skip,category 179671 never renders fitment on eBay
6640,407172076350,,,,,,,skip,category 107062 never renders fitment on eBay
61673,407172015563,,,,,,,skip,category 38771 never renders fitment on eBay
61605,407171928241,,,,,,,skip,category 107062 never renders fitment on eBay
61616,407171928227,,,,,,,skip,category 169395 never renders fitment on eBay
61631,407171928007,,,,,,,skip,category 174119 never renders fitment on eBay
61626,407171927881,,,,,,,skip,category 107062 never renders fitment on eBay
4531,407099844514,,,,,,,skip,no Shopify donor for SKU
64235,407171874999,,,,,,,skip,category 174119 never renders fitment on eBay
64214,407171816744,,,,,,,skip,category 107062 never renders fitment on eBay
61580,407171799384,,,,,,,skip,category 174119 never renders fitment on eBay
61454,407171793869,,,,,,,skip,category 107062 never renders fitment on eBay
64182,407171790957,,,,,,,skip,category 107062 never renders fitment on eBay
64178,407171783245,,,,,,,skip,category 33643 never renders fitment on eBay
64174,407171782380,,,,,,,skip,category 38771 never renders fitment on eBay
64173,407171782382,,,,,,,skip,category 38771 never renders fitment on eBay
761,407171759136,,,,,,,skip,category 107062 never renders fitment on eBay
696,407171738203,,,,,,,skip,category 107062 never renders fitment on eBay
5556,407171631750,,,,,,,skip,category 174119 never renders fitment on eBay
60693,407171625349,,,,,,,skip,category 33643 never renders fitment on eBay
1116,407167156014,,,,,,,skip,no Shopify donor for SKU
1117,407167155762,,,,,,,skip,no Shopify donor for SKU
60387,407169114026,,,,,,,skip,category 169395 never renders fitment on eBay
60366,407169112580,,,,,,,skip,category 107062 never renders fitment on eBay
60365,407169111636,,,,,,,skip,category 107062 never renders fitment on eBay
60776,407169111188,,,,,,,skip,category 38771 never renders fitment on eBay
31635,405431935541,,,,,,,skip,category 179671 never renders fitment on eBay
28445,405248584566,,,,,,,skip,category 107062 never renders fitment on eBay
62562,407093861704,,,,,,,skip,category 33643 never renders fitment on eBay
62658,407094000902,,,,,,,skip,category 107062 never renders fitment on eBay
33091,405576816947,,,,,,,skip,category 179679 never renders fitment on eBay
27708,405199642422,,,,,,,skip,category 107062 never renders fitment on eBay
31633,405431933901,,,,,,,skip,category 179671 never renders fitment on eBay
28980,405273618458,,,,,,,skip,category 107062 never renders fitment on eBay
2030,407033465722,,,,,,,skip,category 107062 never renders fitment on eBay
2338,407066117169,,,,,,,skip,category 107062 never renders fitment on eBay
63698,407120626276,,,,,,,skip,category 107062 never renders fitment on eBay
63814,407124871069,,,,,,,skip,category 107062 never renders fitment on eBay
63753,407124897445,,,,,,,skip,category 107062 never renders fitment on eBay
63763,407124897731,,,,,,,skip,category 107062 never renders fitment on eBay
2040,407127477463,,,,,,,skip,category 107062 never renders fitment on eBay
2035,407127475900,,,,,,,skip,category 107062 never renders fitment on eBay
2339,407127175853,,,,,,,skip,category 107062 never renders fitment on eBay
63561,407158699233,,,,,,,skip,category 107062 never renders fitment on eBay
63695,407159097188,,,,,,,skip,category 21647 never renders fitment on eBay
63766,407159120091,,,,,,,skip,category 107062 never renders fitment on eBay
27653,405196664584,,,,,,,skip,category 107062 never renders fitment on eBay
6478,407167273541,,,,,,,skip,category 107062 never renders fitment on eBay
1136,407167252466,,,,,,,skip,category 107062 never renders fitment on eBay
1133,407167252414,,,,,,,skip,no Shopify donor for SKU
1135,407167252113,,,,,,,skip,no Shopify donor for SKU
1134,407167251923,,,,,,,skip,no Shopify donor for SKU
1131,407167175263,,,,,,,skip,no Shopify donor for SKU
1129,407167174769,,,,,,,skip,no Shopify donor for SKU
1097,407167121560,,,,,,,skip,category 179671 never renders fitment on eBay
1098,407167120631,,,,,,,skip,category 179671 never renders fitment on eBay
1091,407167122923,,,,,,,skip,no Shopify donor for SKU
1088,407167121676,,,,,,,skip,no Shopify donor for SKU
1077,407167119883,,,,,,,skip,no Shopify donor for SKU
1099,407167120025,,,,,,,skip,category 179671 never renders fitment on eBay
1089,407167119678,,,,,,,skip,no Shopify donor for SKU
1017,407167032498,,,,,,,skip,no Shopify donor for SKU
1021,407167032809,,,,,,,skip,no Shopify donor for SKU
1015,407167032704,,,,,,,skip,no Shopify donor for SKU
1019,407167032292,,,,,,,skip,no Shopify donor for SKU
4791,,,,,,,,skip,no published offer (offer exists but not PUBLISHED (ended/sold?))
255,407101970079,,,,,,,skip,category 33643 never renders fitment on eBay
53171,407087060357,,,,,,,skip,category 107062 never renders fitment on eBay
4082,407104489757,,,,,,,skip,category 107062 never renders fitment on eBay
1910,407104492969,,,,,,,skip,category 179671 never renders fitment on eBay
1912,407104493010,,,,,,,skip,category 179671 never renders fitment on eBay
62877,407104367714,,,,,,,skip,category 33643 never renders fitment on eBay
3978,407104489514,,,,,,,skip,category 33643 never renders fitment on eBay
