sku,listingId,donor,rule,engine,n_vehicles,sources,models,action,reason
2039,407127476565,,,,,,,skip,category 21647 never renders fitment on eBay
63159,407127654476,,,,,,,skip,category 179679 never renders fitment on eBay
60260,407127654395,,,,,,,skip,category 179679 never renders fitment on eBay
61597,407127674331,,,,,,,skip,category 179679 never renders fitment on eBay
63900,407161058298,,,,,,,skip,category 107062 never renders fitment on eBay
64027,407161135583,,,,,,,skip,category 33643 never renders fitment on eBay
64713,407161610357,,,,,,,skip,category 107062 never renders fitment on eBay
64633,407161614668,,,,,,,skip,category 33643 never renders fitment on eBay
3338,407084318606,,,,,,,skip,category 179671 never renders fitment on eBay
415,407075638578,,,,,,,skip,category 179679 never renders fitment on eBay
3337,407084318995,,,,,,,skip,category 179671 never renders fitment on eBay
53222,407087147172,,,,,,,skip,category 107062 never renders fitment on eBay
5542,407101907154,,,,,,,skip,category 33643 never renders fitment on eBay
2802,407086447547,,,,,,,skip,category 179679 never renders fitment on eBay
53764,407087044309,,,,,,,skip,category 33643 never renders fitment on eBay
5074,407045857063,,,,,,,skip,category 179671 never renders fitment on eBay
60362,407106369158,,,,,,,skip,category 21647 never renders fitment on eBay
53340,407087134503,,,,,,,skip,category 179671 never renders fitment on eBay
52445,407127127374,,,,,,,skip,category 179679 never renders fitment on eBay
4595,407162868038,,,,,,,skip,category 107062 never renders fitment on eBay
4093,407163061240,,,,,,,skip,category 107062 never renders fitment on eBay
5372,407163071295,,,,,,,skip,category 107062 never renders fitment on eBay
3016,407163243860,,,,,,,skip,category 107062 never renders fitment on eBay
3015,407163242528,,,,,,,skip,category 107062 never renders fitment on eBay
3011,407163202679,,,,,,,skip,category 107062 never renders fitment on eBay
2952,407163113510,,,,,,,skip,category 107062 never renders fitment on eBay
4317,407163071216,,,,,,,skip,category 107062 never renders fitment on eBay
4498,407163071109,,,,,,,skip,category 107062 never renders fitment on eBay
2821,407163036568,,,,,,,skip,category 107062 never renders fitment on eBay
62647,407106457523,,,,,,,skip,category 33643 never renders fitment on eBay
52203,407117609356,,,,,,,skip,category 179679 never renders fitment on eBay
2685,407073148747,,,,,,,skip,category 179671 never renders fitment on eBay
53656,407087032730,,,,,,,skip,category 179679 never renders fitment on eBay
53185,407087136344,,,,,,,skip,category 21647 never renders fitment on eBay
60177,407127524296,,,,,,,skip,category 179671 never renders fitment on eBay
310,407022555687,,,,,,,skip,category 179671 never renders fitment on eBay
52202,407117609392,,,,,,,skip,category 179679 never renders fitment on eBay
296,407077830194,,,,,,,skip,category 107062 never renders fitment on eBay
52204,407117609353,,,,,,,skip,category 179679 never renders fitment on eBay
31634,405431936382,,,,,,,skip,category 179671 never renders fitment on eBay
31636,405431934583,,,,,,,skip,category 179671 never renders fitment on eBay
26388,405151412165,BMW None [F97],B,,,,,review,Rule B on F97 needs an engine or donor model.
29774,405331961154,BMW None [G30],B,,,,,review,Rule B on G30 needs an engine or donor model.
32116,405455596304,BMW None [F39],B,,,,,review,Rule B on F39 needs an engine or donor model.
26780,405169269921,BMW None [G01],B,,,,,review,Rule B on G01 needs an engine or donor model.
31626,405431917339,BMW None [G05],B,,,,,review,Rule B on G05 needs an engine or donor model.
26886,405177761296,BMW None [G29],B,,,,,review,Rule B on G29 needs an engine or donor model.
23539,405016688075,BMW None [G12],B,,,,,review,Rule B on G12 needs an engine or donor model.
31594,405453869173,BMW None [F48],B,,,,,review,Rule B on F48 needs an engine or donor model.
32620,405484895987,BMW None [F02],B,,,,,review,Rule B on F02 needs an engine or donor model.
26884,405172188094,BMW None [G29],B,,,,,review,Rule B on G29 needs an engine or donor model.
27333,405198301412,BMW None [G30],B,,,,,review,Rule B on G30 needs an engine or donor model.
26944,405180490357,BMW None [G29],B,,,,,review,Rule B on G29 needs an engine or donor model.
32134,405460844516,BMW None [F39],B,,,,,review,Rule B on F39 needs an engine or donor model.
29964,405354858082,BMW None [G12],B,,,,,review,Rule B on G12 needs an engine or donor model.
27914,405207737066,BMW None [F16],B,,,,,review,Rule B on F16 needs an engine or donor model.
26467,405153906097,BMW None [G20],B,,,,,review,Rule B on G20 needs an engine or donor model.
29965,405354858490,BMW None [G12],B,,,,,review,Rule B on G12 needs an engine or donor model.
29404,405313739962,BMW None [G30],B,,,,,review,Rule B on G30 needs an engine or donor model.
32133,405460844193,BMW None [F39],B,,,,,review,Rule B on F39 needs an engine or donor model.
27008,405172223460,BMW None [G20],B,,,,,review,Rule B on G20 needs an engine or donor model.
31688,405448844930,BMW None [F15],B,,,,,review,Rule B on F15 needs an engine or donor model.
50017,407087175340,,,,,,,skip,category 179679 never renders fitment on eBay
50893,407117609292,,,,,,,skip,category 179671 never renders fitment on eBay
51450,407087041818,,,,,,,skip,category 179671 never renders fitment on eBay
1515,407122672747,,,,,,,skip,category 107062 never renders fitment on eBay
53251,407153912304,,,,,,,skip,category 33643 never renders fitment on eBay
5280,407149375411,,,,,,,skip,category 179679 never renders fitment on eBay
5278,407149358710,,,,,,,skip,category 179679 never renders fitment on eBay
51476,407095797488,,,,,,,skip,category 107062 never renders fitment on eBay
45085,407127127486,,,,,,,skip,category 179679 never renders fitment on eBay
2140,407129704937,,,,,,,skip,category 179671 never renders fitment on eBay
2915,407075663087,,,,,,,skip,category 179671 never renders fitment on eBay
6095,407127780216,,,,,,,skip,category 179671 never renders fitment on eBay
48354,407087152237,,,,,,,skip,category 179679 never renders fitment on eBay
61694,407132043768,,,,,,,skip,category 179671 never renders fitment on eBay
50894,407117609403,,,,,,,skip,category 179671 never renders fitment on eBay
6446,407156517929,,,,,,,skip,category 33643 never renders fitment on eBay
48355,407127127330,,,,,,,skip,category 179679 never renders fitment on eBay
62509,407122664544,,,,,,,skip,category 33643 never renders fitment on eBay
45086,407127127490,,,,,,,skip,category 179679 never renders fitment on eBay
5279,407149363847,,,,,,,skip,category 179679 never renders fitment on eBay
62498,407122665511,,,,,,,skip,category 174119 never renders fitment on eBay
48491,407087186293,,,,,,,skip,category 169395 never renders fitment on eBay
6243,407156441276,,,,,,,skip,category 107062 never renders fitment on eBay
45087,407127127608,,,,,,,skip,category 179679 never renders fitment on eBay
45084,407127127493,,,,,,,skip,category 179679 never renders fitment on eBay
4311,406996261531,,,,,,,skip,category 179671 never renders fitment on eBay
50620,407087178302,,,,,,,skip,category 179679 never renders fitment on eBay
4274,407099930261,,,,,,,skip,category 179679 never renders fitment on eBay
1100,406976663153,,,,,,,skip,category 179671 never renders fitment on eBay
1035,407132223263,,,,,,,skip,category 179679 never renders fitment on eBay
1034,407132223731,,,,,,,skip,category 179679 never renders fitment on eBay
1036,407132223562,,,,,,,skip,category 179679 never renders fitment on eBay
64164,407161590610,,,,,,,skip,category 107062 never renders fitment on eBay
64163,407161590597,,,,,,,skip,category 21647 never renders fitment on eBay
60042,407161023701,,,,,,,skip,category 107062 never renders fitment on eBay
2750,407161445494,,,,,,,skip,category 107062 never renders fitment on eBay
2751,407161445607,,,,,,,skip,category 107062 never renders fitment on eBay
63378,407161332547,,,,,,,skip,category 33643 never renders fitment on eBay
2744,407161314750,,,,,,,skip,category 21647 never renders fitment on eBay
2632,407161204559,,,,,,,skip,category 33643 never renders fitment on eBay
3721,407145118894,,,,,,,skip,category 107062 never renders fitment on eBay
2970,407144978836,,,,,,,skip,category 107062 never renders fitment on eBay
2836,407144978644,,,,,,,skip,category 169395 never renders fitment on eBay
2865,407144978496,,,,,,,skip,category 107062 never renders fitment on eBay
3032,407144978152,,,,,,,skip,category 107062 never renders fitment on eBay
2647,407144765082,,,,,,,skip,category 107062 never renders fitment on eBay
2639,407144763091,,,,,,,skip,category 107062 never renders fitment on eBay
2300,407144757677,,,,,,,skip,category 107062 never renders fitment on eBay
2298,407144757638,,,,,,,skip,category 107062 never renders fitment on eBay
2299,407144757571,,,,,,,skip,category 107062 never renders fitment on eBay
2273,407144757537,,,,,,,skip,category 107062 never renders fitment on eBay
3305,407144754691,,,,,,,skip,category 107062 never renders fitment on eBay
61110,407144419196,,,,,,,skip,category 107062 never renders fitment on eBay
6571,407144177160,,,,,,,skip,category 107062 never renders fitment on eBay
53655,407139085960,,,,,,,skip,category 179671 never renders fitment on eBay
64323,407142365454,,,,,,,skip,category 107062 never renders fitment on eBay
64312,407142365429,,,,,,,skip,category 107062 never renders fitment on eBay
5579,407141747552,,,,,,,skip,category 179679 never renders fitment on eBay
52413,407141610997,,,,,,,skip,category 179671 never renders fitment on eBay
52409,407141610864,,,,,,,skip,category 179671 never renders fitment on eBay
52408,407141599415,,,,,,,skip,category 179671 never renders fitment on eBay
64212,407139948697,,,,,,,skip,category 169395 never renders fitment on eBay
64111,407137232274,,,,,,,skip,category 107062 never renders fitment on eBay
61151,407139338438,,,,,,,skip,category 107062 never renders fitment on eBay
61149,407139338104,,,,,,,skip,category 107062 never renders fitment on eBay
64160,407138749010,,,,,,,skip,category 107062 never renders fitment on eBay
6635,407137174783,,,,,,,skip,category 107062 never renders fitment on eBay
6589,407136927865,,,,,,,skip,category 174119 never renders fitment on eBay
6639,407136910359,,,,,,,skip,category 107062 never renders fitment on eBay
6633,407136909912,,,,,,,skip,category 107062 never renders fitment on eBay
6634,407136909546,,,,,,,skip,category 107062 never renders fitment on eBay
60277,407136825326,,,,,,,skip,category 107062 never renders fitment on eBay
60193,407136819449,,,,,,,skip,category 21647 never renders fitment on eBay
53606,407087060927,,,,,,,skip,category 107062 never renders fitment on eBay
53207,407134409840,,,,,,,skip,category 21647 never renders fitment on eBay
61150,407110931902,,,,,,,skip,category 107062 never renders fitment on eBay
61867,407132103788,,,,,,,skip,category 33643 never renders fitment on eBay
5879,407132057912,,,,,,,skip,category 179671 never renders fitment on eBay
5794,407132057785,,,,,,,skip,category 107062 never renders fitment on eBay
5904,407132057552,,,,,,,skip,category 179671 never renders fitment on eBay
5779,407132057426,,,,,,,skip,category 107062 never renders fitment on eBay
5995,407132057347,,,,,,,skip,category 107062 never renders fitment on eBay
61571,,,,,,,,skip,no published offer (offer exists but not PUBLISHED (ended/sold?))
61570,,,,,,,,skip,no published offer (offer exists but not PUBLISHED (ended/sold?))
61096,407132012742,,,,,,,skip,category 179679 never renders fitment on eBay
52606,407131750231,,,,,,,skip,category 107062 never renders fitment on eBay
53437,407131750160,,,,,,,skip,category 107062 never renders fitment on eBay
53477,407131750180,,,,,,,skip,category 107062 never renders fitment on eBay
52613,407131750149,,,,,,,skip,category 107062 never renders fitment on eBay
6338,407129859622,,,,,,,skip,category 107062 never renders fitment on eBay
6347,407129830925,,,,,,,skip,category 107062 never renders fitment on eBay
6379,407129803218,,,,,,,skip,category 107062 never renders fitment on eBay
2430,407129756631,,,,,,,skip,category 107062 never renders fitment on eBay
3634,407129756394,,,,,,,skip,category 107062 never renders fitment on eBay
2239,407129671428,,,,,,,skip,category 33643 never renders fitment on eBay
246,407127926127,,,,,,,skip,category 169395 never renders fitment on eBay
1561,407127889801,,,,,,,skip,category 107062 never renders fitment on eBay
61111,407119641222,,,,,,,skip,category 107062 never renders fitment on eBay
60608,407147126403,,,,,,,skip,category 107062 never renders fitment on eBay
60607,407147126844,,,,,,,skip,category 107062 never renders fitment on eBay
60602,407147142207,,,,,,,skip,category 107062 never renders fitment on eBay
64623,407159006829,,,,,,,skip,category 169395 never renders fitment on eBay
63774,,,,,,,,skip,no published offer (offer exists but not PUBLISHED (ended/sold?))
4134,407148762074,,,,,,,skip,category 107062 never renders fitment on eBay
60810,407149133748,,,,,,,skip,category 107062 never renders fitment on eBay
63668,407151753112,,,,,,,skip,category 33643 never renders fitment on eBay
4187,407156203156,,,,,,,skip,category 107062 never renders fitment on eBay
63946,407157119861,,,,,,,skip,category 33643 never renders fitment on eBay
6503,407127750261,,,,,,,skip,category 179671 never renders fitment on eBay
6436,407123009415,,,,,,,skip,category 107062 never renders fitment on eBay
6437,407123009342,,,,,,,skip,category 107062 never renders fitment on eBay
61244,407158879066,,,,,,,skip,category 107062 never renders fitment on eBay
61237,407158878931,,,,,,,skip,category 174119 never renders fitment on eBay
6359,407153583653,,,,,,,skip,category 107062 never renders fitment on eBay
61182,407158758846,,,,,,,skip,category 21647 never renders fitment on eBay
61189,407158758873,,,,,,,skip,category 33643 never renders fitment on eBay
61185,407158758810,,,,,,,skip,category 107062 never renders fitment on eBay
60949,407151079014,,,,,,,skip,category 107062 never renders fitment on eBay
62184,407156493008,,,,,,,skip,category 33643 never renders fitment on eBay
62046,407156406194,,,,,,,skip,category 107062 never renders fitment on eBay
62051,407156405380,,,,,,,skip,category 107062 never renders fitment on eBay
53613,407153911834,,,,,,,skip,category 33643 never renders fitment on eBay
61259,407154249776,,,,,,,skip,category 107062 never renders fitment on eBay
61274,407154249817,,,,,,,skip,category 107062 never renders fitment on eBay
62010,407154175499,,,,,,,skip,category 21647 never renders fitment on eBay
62002,407154175532,,,,,,,skip,category 169395 never renders fitment on eBay
61994,407154175817,,,,,,,skip,category 174119 never renders fitment on eBay
61980,407154175572,,,,,,,skip,category 107062 never renders fitment on eBay
52407,407151924287,,,,,,,skip,category 179671 never renders fitment on eBay
52406,407151924226,,,,,,,skip,category 179671 never renders fitment on eBay
62070,407087026378,,,,,,,skip,category 107062 never renders fitment on eBay
62088,407086980392,,,,,,,skip,category 107062 never renders fitment on eBay
62064,407101755905,,,,,,,skip,category 107062 never renders fitment on eBay
62089,407086984638,,,,,,,skip,category 107062 never renders fitment on eBay
64429,407151550021,,,,,,,skip,category 107062 never renders fitment on eBay
3812,407146906020,,,,,,,skip,category 33643 never renders fitment on eBay
1620,407153747421,,,,,,,skip,category 107062 never renders fitment on eBay
2972,407153747986,,,,,,,skip,category 107062 never renders fitment on eBay
3242,407153748026,,,,,,,skip,category 107062 never renders fitment on eBay
4766,407153748284,,,,,,,skip,category 107062 never renders fitment on eBay
45501,407151924370,,,,,,,skip,category 179671 never renders fitment on eBay
63139,407144874245,,,,,,,skip,category 174119 never renders fitment on eBay
63140,407144874217,,,,,,,skip,category 169395 never renders fitment on eBay
63127,407144757503,,,,,,,skip,category 33643 never renders fitment on eBay
63133,407144757494,,,,,,,skip,category 107062 never renders fitment on eBay
62406,407142002772,,,,,,,skip,category 33643 never renders fitment on eBay
45380,407139759292,,,,,,,skip,category 107062 never renders fitment on eBay
11529,407139744239,,,,,,,skip,category 107062 never renders fitment on eBay
17820,407139688029,,,,,,,skip,category 107062 never renders fitment on eBay
17805,407139674470,,,,,,,skip,category 174119 never renders fitment on eBay
17387,407139661273,,,,,,,skip,category 107062 never renders fitment on eBay
17388,407139660297,,,,,,,skip,category 107062 never renders fitment on eBay
17385,407139654601,,,,,,,skip,category 107062 never renders fitment on eBay
17384,407139654458,,,,,,,skip,category 107062 never renders fitment on eBay
15508,407139637979,,,,,,,skip,category 174119 never renders fitment on eBay
62316,407139620693,,,,,,,skip,category 107062 never renders fitment on eBay
62315,407139594015,,,,,,,skip,category 107062 never renders fitment on eBay
45224,407139242852,,,,,,,skip,category 21647 never renders fitment on eBay
50696,407139086197,,,,,,,skip,category 179671 never renders fitment on eBay
50896,407139086134,,,,,,,skip,category 179671 never renders fitment on eBay
50895,407139085997,,,,,,,skip,category 179671 never renders fitment on eBay
64041,407127191040,,,,,,,skip,category 179679 never renders fitment on eBay
61187,407070239325,,,,,,,skip,category 107062 never renders fitment on eBay
62549,407122885120,,,,,,,skip,category 107062 never renders fitment on eBay
24027,407122709175,,,,,,,skip,category 38771 never renders fitment on eBay
51442,407117609465,,,,,,,skip,category 179671 never renders fitment on eBay
50697,407117609426,,,,,,,skip,category 179671 never renders fitment on eBay
50693,407117609201,,,,,,,skip,category 179671 never renders fitment on eBay
50695,407117609019,,,,,,,skip,category 179671 never renders fitment on eBay
62479,407111127111,,,,,,,skip,category 169395 never renders fitment on eBay
62472,407111127181,,,,,,,skip,category 107062 never renders fitment on eBay
4370,407104673394,,,,,,,skip,category 179671 never renders fitment on eBay
5482,,,,,,,,skip,no published offer (offer exists but not PUBLISHED (ended/sold?))
5547,,,,,,,,skip,no published offer (offer exists but not PUBLISHED (ended/sold?))
5435,,,,,,,,skip,no published offer (offer exists but not PUBLISHED (ended/sold?))
5339,,,,,,,,skip,no published offer (offer exists but not PUBLISHED (ended/sold?))
5443,,,,,,,,skip,no published offer (offer exists but not PUBLISHED (ended/sold?))
5331,,,,,,,,skip,no published offer (offer exists but not PUBLISHED (ended/sold?))
5263,,,,,,,,skip,no published offer (offer exists but not PUBLISHED (ended/sold?))
5498,,,,,,,,skip,no published offer (offer exists but not PUBLISHED (ended/sold?))
5424,,,,,,,,skip,no published offer (offer exists but not PUBLISHED (ended/sold?))
5630,,,,,,,,skip,no published offer (offer exists but not PUBLISHED (ended/sold?))
5588,,,,,,,,skip,no published offer (offer exists but not PUBLISHED (ended/sold?))
5560,,,,,,,,skip,no published offer (offer exists but not PUBLISHED (ended/sold?))
5640,,,,,,,,skip,no published offer (offer exists but not PUBLISHED (ended/sold?))
5638,,,,,,,,skip,no published offer (offer exists but not PUBLISHED (ended/sold?))
5590,,,,,,,,skip,no published offer (offer exists but not PUBLISHED (ended/sold?))
5398,,,,,,,,skip,no published offer (offer exists but not PUBLISHED (ended/sold?))
248,407101826093,,,,,,,skip,no Shopify donor for SKU
247,407101825558,,,,,,,skip,no Shopify donor for SKU
5007,,,,,,,,skip,no published offer (offer exists but not PUBLISHED (ended/sold?))
62076,,,,,,,,skip,no published offer (offer exists but not PUBLISHED (ended/sold?))
0227f11b-97ea-4a08-963f-137c6a9fed03,,,,,,,,skip,no published offer (offer exists but not PUBLISHED (ended/sold?))
29368,,,,,,,,skip,no published offer (offer exists but not PUBLISHED (ended/sold?))
32135,405460845003,BMW None [F39],B,,,,,review,Rule B on F39 needs an engine or donor model.
28526,,,,,,,,skip,no published offer (offer exists but not PUBLISHED (ended/sold?))
31380,405429932821,,,,,,,skip,no Shopify donor for SKU
22825,,,,,,,,skip,no published offer (offer exists but not PUBLISHED (ended/sold?))
25823,405122651444,,,,,,,skip,no Shopify donor for SKU
32532,405482405463,BMW None [F02],B,,,,,review,Rule B on F02 needs an engine or donor model.
25407,,,,,,,,skip,no published offer (offer exists but not PUBLISHED (ended/sold?))
32861,,,,,,,,skip,no published offer (offer exists but not PUBLISHED (ended/sold?))
31787,,,,,,,,skip,no published offer (offer exists but not PUBLISHED (ended/sold?))
31761,405450149530,BMW None [F48],B,,,,,review,Rule B on F48 needs an engine or donor model.
30523,,,,,,,,skip,no published offer (offer exists but not PUBLISHED (ended/sold?))
31717,405444081177,BMW None [F39],B,,,,,review,Rule B on F39 needs an engine or donor model.
26350,,,,,,,,skip,no published offer (offer exists but not PUBLISHED (ended/sold?))
32525,,,,,,,,skip,no published offer (offer exists but not PUBLISHED (ended/sold?))
25521,,,,,,,,skip,no published offer (offer exists but not PUBLISHED (ended/sold?))
24941,,,,,,,,skip,no published offer (offer exists but not PUBLISHED (ended/sold?))
25640,,,,,,,,skip,no published offer (offer exists but not PUBLISHED (ended/sold?))
31729,405444081594,BMW None [F48],B,,,,,review,Rule B on F48 needs an engine or donor model.
32733,,,,,,,,skip,no published offer (offer exists but not PUBLISHED (ended/sold?))
26242,405141482466,BMW None [F22],B,,,,,review,Rule B on F22 needs an engine or donor model.
20289,404795478972,,,,,,,skip,no Shopify donor for SKU
29936,,,,,,,,skip,no published offer (offer exists but not PUBLISHED (ended/sold?))
25976,,,,,,,,skip,no published offer (offer exists but not PUBLISHED (ended/sold?))
33187,405513185333,BMW None [G30],B,,,,,review,Rule B on G30 needs an engine or donor model.
27190,405194224853,BMW None [G30],B,,,,,review,Rule B on G30 needs an engine or donor model.
23169,405133965381,BMW None [G12],B,,,,,review,Rule B on G12 needs an engine or donor model.
27815,405207876423,BMW None [F16],B,,,,,review,Rule B on F16 needs an engine or donor model.
26877,,,,,,,,skip,no published offer (offer exists but not PUBLISHED (ended/sold?))
22208,404944868275,BMW None [F30],B,,,,,review,Rule B on F30 needs an engine or donor model.
23173,,,,,,,,skip,no published offer (offer exists but not PUBLISHED (ended/sold?))
22827,,,,,,,,skip,no published offer (offer exists but not PUBLISHED (ended/sold?))
27256,,,,,,,,skip,no published offer (offer exists but not PUBLISHED (ended/sold?))
26353,,,,,,,,skip,no published offer (offer exists but not PUBLISHED (ended/sold?))
30702,405389121063,BMW None [G20],B,,,,,review,Rule B on G20 needs an engine or donor model.
32132,405455749744,BMW None [F39],B,,,,,review,Rule B on F39 needs an engine or donor model.
24002,405023851730,BMW None [F25],B,,,,,review,Rule B on F25 needs an engine or donor model.
27718,,,,,,,,skip,no published offer (offer exists but not PUBLISHED (ended/sold?))
25500,,,,,,,,skip,no published offer (offer exists but not PUBLISHED (ended/sold?))
27967,,,,,,,,skip,no published offer (offer exists but not PUBLISHED (ended/sold?))
21295,404883451007,,,,,,,skip,no Shopify donor for SKU
23810,,,,,,,,skip,no published offer (offer exists but not PUBLISHED (ended/sold?))
23811,,,,,,,,skip,no published offer (offer exists but not PUBLISHED (ended/sold?))
26247,,,,,,,,skip,no published offer (offer exists but not PUBLISHED (ended/sold?))
24884,405089230011,BMW None [G20],B,,,,,review,Rule B on G20 needs an engine or donor model.
1085,407100204753,,,,,,,skip,no Shopify donor for SKU
1079,,,,,,,,skip,no published offer (offer exists but not PUBLISHED (ended/sold?))
1078,407100206944,,,,,,,skip,no Shopify donor for SKU
1132,407100197374,,,,,,,skip,no Shopify donor for SKU
1204,407100199102,,,,,,,skip,no Shopify donor for SKU
1216,,,,,,,,skip,no published offer (offer exists but not PUBLISHED (ended/sold?))
1139,407100198256,,,,,,,skip,no Shopify donor for SKU
1277,407100198353,,,,,,,skip,no Shopify donor for SKU
749,,,,,,,,skip,no published offer (offer exists but not PUBLISHED (ended/sold?))
4502,407099800549,,,,,,,skip,category 107062 never renders fitment on eBay
4528,407099844606,,,,,,,skip,no Shopify donor for SKU
4503,407099800804,,,,,,,skip,no Shopify donor for SKU
4510,407099800807,,,,,,,skip,no Shopify donor for SKU
4506,407099800772,,,,,,,skip,category 174119 never renders fitment on eBay
4500,407099800769,,,,,,,skip,no Shopify donor for SKU
4518,407099800643,,,,,,,skip,no Shopify donor for SKU
4499,407099800462,,,,,,,skip,no Shopify donor for SKU
4517,407099800374,,,,,,,skip,no Shopify donor for SKU
456,407098219123,,,,,,,skip,no Shopify donor for SKU
4425,407098077224,,,,,,,skip,no Shopify donor for SKU
4364,407098024484,,,,,,,skip,no Shopify donor for SKU
4367,407098023971,,,,,,,skip,no Shopify donor for SKU
4295,,,,,,,,skip,no published offer (offer exists but not PUBLISHED (ended/sold?))
4301,407098019806,,,,,,,skip,no Shopify donor for SKU
4284,407097977630,,,,,,,skip,no Shopify donor for SKU
4277,407097977412,,,,,,,skip,no Shopify donor for SKU
4283,407097977082,,,,,,,skip,no Shopify donor for SKU
4290,407097977059,,,,,,,skip,no Shopify donor for SKU
4282,,,,,,,,skip,no published offer (offer exists but not PUBLISHED (ended/sold?))
53560,,,,,,,,skip,no published offer (offer exists but not PUBLISHED (ended/sold?))
61033,,,,,,,,skip,no published offer (offer exists but not PUBLISHED (ended/sold?))
23190,,,,,,,,skip,no published offer (offer exists but not PUBLISHED (ended/sold?))
62715,,,,,,,,skip,no published offer (offer exists but not PUBLISHED (ended/sold?))
61002,,,,,,,,skip,no published offer (offer exists but not PUBLISHED (ended/sold?))
62687,,,,,,,,skip,no published offer (offer exists but not PUBLISHED (ended/sold?))
62682,,,,,,,,skip,no published offer (offer exists but not PUBLISHED (ended/sold?))
60996,,,,,,,,skip,no published offer (offer exists but not PUBLISHED (ended/sold?))
789,,,,,,,,skip,no published offer (offer exists but not PUBLISHED (ended/sold?))
60976,,,,,,,,skip,no published offer (offer exists but not PUBLISHED (ended/sold?))
60975,,,,,,,,skip,no published offer (offer exists but not PUBLISHED (ended/sold?))
254,,,,,,,,skip,no published offer (offer exists but not PUBLISHED (ended/sold?))
60957,,,,,,,,skip,no published offer (offer exists but not PUBLISHED (ended/sold?))
60956,,,,,,,,skip,no published offer (offer exists but not PUBLISHED (ended/sold?))
446,407095677630,,,,,,,skip,no Shopify donor for SKU
17360,406942863313,,,,,,,skip,no Shopify donor for SKU
52286,,,,,,,,skip,no published offer (offer exists but not PUBLISHED (ended/sold?))
959,407095670398,,,,,,,skip,no Shopify donor for SKU
919,407095678212,,,,,,,skip,no Shopify donor for SKU
923,407095678237,,,,,,,skip,no Shopify donor for SKU
921,407095678348,,,,,,,skip,no Shopify donor for SKU
920,407095678526,,,,,,,skip,no Shopify donor for SKU
918,407095677889,,,,,,,skip,no Shopify donor for SKU
922,407095678371,,,,,,,skip,no Shopify donor for SKU
924,407095677749,,,,,,,skip,no Shopify donor for SKU
958,407095669694,,,,,,,skip,no Shopify donor for SKU
966,,,,,,,,skip,no published offer (offer exists but not PUBLISHED (ended/sold?))
960,407095670093,,,,,,,skip,no Shopify donor for SKU
965,407095669978,,,,,,,skip,no Shopify donor for SKU
44744,,,,,,,,skip,no published offer (offer exists but not PUBLISHED (ended/sold?))
887,,,,,,,,skip,no published offer (offer exists but not PUBLISHED (ended/sold?))
16556,406942863152,,,,,,,skip,no Shopify donor for SKU
43663,,,,,,,,skip,no published offer (offer exists but not PUBLISHED (ended/sold?))
62632,,,,,,,,skip,no published offer (offer exists but not PUBLISHED (ended/sold?))
62629,,,,,,,,skip,no published offer (offer exists but not PUBLISHED (ended/sold?))
62421,,,,,,,,skip,no published offer (offer exists but not PUBLISHED (ended/sold?))
62430,,,,,,,,skip,no published offer (offer exists but not PUBLISHED (ended/sold?))
4557,,,,,,,,skip,no published offer (offer exists but not PUBLISHED (ended/sold?))
4556,,,,,,,,skip,no published offer (offer exists but not PUBLISHED (ended/sold?))
28496,405250572138,,,,,,,skip,no Shopify donor for SKU
34845,407087441201,,,,,,,skip,no Shopify donor for SKU
14074,406942863335,,,,,,,skip,no Shopify donor for SKU
14527,406942863160,,,,,,,skip,no Shopify donor for SKU
32890,,,,,,,,skip,no published offer (offer exists but not PUBLISHED (ended/sold?))
32198,,,,,,,,skip,no published offer (offer exists but not PUBLISHED (ended/sold?))
46785,,,,,,,,skip,no published offer (offer exists but not PUBLISHED (ended/sold?))
31169,,,,,,,,skip,no published offer (offer exists but not PUBLISHED (ended/sold?))
723,,,,,,,,skip,no published offer (offer exists but not PUBLISHED (ended/sold?))
5161,,,,,,,,skip,no published offer (offer exists but not PUBLISHED (ended/sold?))
6057,,,,,,,,skip,no published offer (offer exists but not PUBLISHED (ended/sold?))
4705,,,,,,,,skip,no published offer (offer exists but not PUBLISHED (ended/sold?))
2993,,,,,,,,skip,no published offer (offer exists but not PUBLISHED (ended/sold?))
5153,,,,,,,,skip,no published offer (offer exists but not PUBLISHED (ended/sold?))
5664,,,,,,,,skip,no published offer (offer exists but not PUBLISHED (ended/sold?))
48554,407087195209,,,,,,,skip,no Shopify donor for SKU
51781,,,,,,,,skip,no published offer (offer exists but not PUBLISHED (ended/sold?))
4390,,,,,,,,skip,no published offer (offer exists but not PUBLISHED (ended/sold?))
50560,407087147662,,,,,,,skip,no Shopify donor for SKU
4389,,,,,,,,skip,no published offer (offer exists but not PUBLISHED (ended/sold?))
51506,,,,,,,,skip,no published offer (offer exists but not PUBLISHED (ended/sold?))
1215,,,,,,,,skip,no published offer (offer exists but not PUBLISHED (ended/sold?))
45470,,,,,,,,skip,no published offer (offer exists but not PUBLISHED (ended/sold?))
48553,407087158521,,,,,,,skip,no Shopify donor for SKU
37663,,,,,,,,skip,no published offer (offer exists but not PUBLISHED (ended/sold?))
5164,,,,,,,,skip,no published offer (offer exists but not PUBLISHED (ended/sold?))
1757,,,,,,,,skip,no published offer (offer exists but not PUBLISHED (ended/sold?))
47058,,,,,,,,skip,no published offer (offer exists but not PUBLISHED (ended/sold?))
53859,,,,,,,,skip,no published offer (offer exists but not PUBLISHED (ended/sold?))
